case_id,split,family,decision_type,expected_route,predicted_route,route_correct,dangerous_escalation,route_confidence,route_margin,ambiguous_probability,repository_work_probability,missing_repository_profile_probability,assistant_tool_need_probability,duration_ms,input_tokens,output_tokens,estimated_cost_usd,error,request_text
chat-001,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.09,0.02,0.13,0.01,606.4759170112666,1451,118,6.0942e-05,,Explain git rebase in plain English.
assistant-001,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.21,0.13,0.79,0.98,602.1122499951161,1460,118,6.132e-05,,Remind me tomorrow at 09:00 to rebase my feature branch.
developer-001,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.25,0.98,0.23,0.01,601.1449169891421,1473,118,6.1866e-05,,"In the safeplane repository, rebase-related instructions in CONTRIBUTING.md are outdated. Update them."
chat-002,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.06,0.01,600.5822079896461,1449,118,6.0858e-05,,Explain how pytest fixtures work.
assistant-002,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.21,0.02,0.06,0.98,601.2930840079207,1455,118,6.111e-05,,Put a reminder on Friday afternoon for me to practice pytest fixtures.
developer-002,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.24,0.98,0.06,0.01,849.2107090132777,1474,118,6.1908e-05,,"In my demo-repo, fix the failing pytest fixture in tests/test_api.py and run the relevant checks."
chat-003,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.01,0.06,0.01,599.5143330073915,1455,118,6.111e-05,,What is a cron expression and how do the five fields work?
assistant-003,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.16,0.02,0.06,0.98,824.8637079959735,1459,118,6.1278e-05,,Schedule a reminder for 18:00 to review my cron job notes.
developer-003,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.26,0.97,0.95,0.02,314.18437501997687,1460,118,6.132e-05,,"In the safeplane repo, add validation for the cron expression used by the scheduler config."
chat-004,holdout,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.21,0.03,0.2,0.01,668.6066669935826,1453,118,6.1026e-05,,Draft a generic release announcement for a small developer tool.
assistant-004,holdout,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.26,0.01,0.14,0.98,292.67075000097975,1454,118,6.1068e-05,,Remind me next Monday morning to publish the release announcement.
developer-004,holdout,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.43,0.97,0.3,0.02,384.04829101637006,1471,118,6.1782e-05,,Update CHANGELOG.md and the release notes in the safeplane repository for the routing experiment.
chat-005,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.05,0.01,797.4016670195851,1454,118,6.1068e-05,,Explain the difference between a Docker image and a container.
assistant-005,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.11,0.01,0.06,0.98,301.486374984961,1465,118,6.153e-05,,Add a calendar block tomorrow from 14:00 to 15:00 for Docker study.
developer-005,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.33,0.97,0.1,0.01,547.8363749862183,1466,118,6.1572e-05,,"In demo-repo, reduce the Docker image size without changing runtime behavior."
chat-006,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.01,0.06,0.01,469.38762499485165,1456,118,6.1152e-05,,Explain HTTP 429 versus HTTP 503.
assistant-006,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.17,0.02,0.08,0.98,1204.1937920148484,1459,118,6.1278e-05,,Remind me at 16:30 to read the HTTP retry notes.
developer-006,calibration,minimal_pair,decisive,developer,developer,True,False,0.99,0.98,0.42,0.92,0.89,0.01,349.0815830009524,1464,118,6.1488e-05,,"In safeplane, update the HTTP client retry handling for 429 and 503 responses."
